smon,sday,syear,shour,smin,ssec,emon,eday,eyear,ehour,emin,esec
11,4,2007,10,13,27,11,4,2007,10,24,57
11,4,2007,10,31,37,11,4,2007,10,32,52
11,4,2007,10,40,57,11,4,2007,10,44,7
11,4,2007,12,4,42,11,4,2007,13,2,27
11,4,2007,13,21,22,11,4,2007,13,24,27
11,4,2007,13,40,57,11,4,2007,14,0,7
11,4,2007,14,4,57,11,4,2007,14,20,22
11,4,2007,14,33,22,11,4,2007,14,34,27
12,15,2007,12,22,22,12,15,2007,12,22,47
12,15,2007,12,30,12,12,15,2007,12,30,57
12,15,2007,12,32,7,12,15,2007,12,40,7
12,15,2007,12,42,47,12,15,2007,13,0,57
12,15,2007,13,11,37,12,15,2007,13,22,2
12,15,2007,13,33,52,12,15,2007,13,41,2
12,15,2007,14,1,27,12,15,2007,14,14,57
12,15,2007,22,30,47,12,15,2007,22,33,17
12,15,2007,23,0,17,12,15,2007,23,11,2
12,16,2007,0,0,22,12,16,2007,0,22,42
12,16,2007,0,32,12,12,16,2007,0,34,52
12,16,2007,1,20,2,12,16,2007,1,30,57
12,16,2007,1,34,57,12,16,2007,1,44,27
12,16,2007,1,51,47,12,16,2007,2,0,2
12,16,2007,2,0,42,12,16,2007,2,3,17
12,16,2007,2,10,2,12,16,2007,2,23,17
12,16,2007,2,30,7,12,16,2007,2,34,57
12,16,2007,3,0,27,12,16,2007,3,4,2
12,16,2007,3,14,22,12,16,2007,3,21,27
12,26,2007,11,11,12,12,26,2007,11,23,57
12,26,2007,18,43,27,12,26,2007,18,51,32
12,26,2007,19,1,17,12,26,2007,19,3,12
12,26,2007,20,10,17,12,26,2007,20,14,52
12,27,2007,18,10,12,12,27,2007,18,24,57
1,1,2008,2,34,48,1,1,2008,2,40,11
1,1,2008,3,13,54,1,1,2008,3,15,34
1,5,2008,8,27,42,1,5,2008,8,30,20
1,5,2008,8,39,23,1,5,2008,8,40,8
1,5,2008,8,46,26,1,5,2008,8,49,19
1,5,2008,8,49,54,1,5,2008,8,52,14
1,5,2008,8,55,57,1,5,2008,9,1,30
